event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
LSQ12gdj,56270.10,17.30,0.02,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56270.10,17.36,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56270.10,16.55,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56270.10,16.58,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56270.10,16.56,0.01,F,V,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56270.10,17.18,0.02,F,Z,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56270.7646,19.011,0.155,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56270.7662,17.361,0.086,F,U,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56270.7668,17.138,0.067,F,B,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56270.7680,20.165,0.258,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56270.7705,16.587,0.076,F,V,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56270.7721,20.447,0.286,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56270.80,17.18,0.08,F,B,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56270.80,17.38,0.10,F,U,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56270.80,20.48,0.32,F,UVM2,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56270.80,18.93,0.16,F,UVW1,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56270.80,20.08,0.25,F,UVW2,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56270.80,16.66,0.09,F,V,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56272.10,16.95,0.01,F,G,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56272.10,17.29,0.03,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56272.10,16.63,0.02,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56272.10,17.20,0.02,F,Z,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56273.10,17.02,0.01,F,G,EFOSC,NTT,2015A&A...579A..40S
